Video id,blondVal,brownVal,redVal,blackVal,grayVal,otherVal
Is9ioUILsrU,,,,,,
BBhwOTtARQ8,,,,,,
1T2rAw6DsyM,,,,,,
7Z_0Hica6-w,,,,,,
pIMNpu7mGY8,,,,,,
C7CY4l99S7M,,,,,,
k40Ht-MffP8,,,,,,
nmccWna9A0Y,,,,,,
4w_n98E-j0I,,,,,,
UoPYPDnkltQ,,,,,,
ErrR7v0OgJA,0.9666666666666668,0.9166666666666666,0.58,0.11666666666666665,0.09333333333333332,0.16
KvBMuB4FeWE,,,,,,
buSnKoducJc,0.23,0.955,0.06,0.94,0.38,0.135
NUA-fI3E6Vk,,,,,,
SPh1KMjrb_A,,,,,,
qcz1Cm_-l50,,,,,,
6sbVhu843SA,0.12,1.0,0.86,0.23,0.06,0.11
X1Kr2cHWuP4,,,,,,
dBGeri4eFv4,,,,,,
h3ZrKQMBEB4,,,,,,
vPA0k8r3Tuc,,,,,,
muZmOiiukQE,,,,,,
9ya8YNMJ27g,0.24,0.98,0.55,0.52,0.15,0.18
7up731HX2uA,,,,,,
1F7LAJEVp-U,,,,,,
nm2b1U8mvhI,,,,,,
PqJuIal2-rY,,,,,,
Ep8y4v7-Dmw,,,,,,
EOqxDyiMAdE,,,,,,
whreCx_YLko,,,,,,
bChoL5qB6cM,,,,,,
iQTrf_eCfI8,,,,,,
4dvG5PXUGFk,,,,,,
V1kXk2yrBZw,,,,,,
VufrCCcsse4,,,,,,
WTIotEFCYno,,,,,,
LXZqE_soFzY,,,,,,
IYNyBvB8BjA,,,,,,
nWbQIORfcyg,,,,,,
CQ0OHoaS8eo,,,,,,
LXZqE_soFzY,,,,,,
jBIf10lgWyU,,,,,,
Wn8Bf_r0vzo,,,,,,
T1yNpgVkMRM,0.33,0.9966666666666668,0.17666666666666667,0.69,0.20333333333333334,0.05
TSnZ0dlh3NA,,,,,,
k2rrJDcOGsw,,,,,,
5RZwBqvMVMI,,,,,,
6uts4lH_tP4,,,,,,
GtiYyWQI8ZA,0.5449999999999999,0.6,0.05666666666666668,0.5499999999999999,0.9183333333333332,0.34166666666666673
ev8g5jdDxEA,,,,,,
xRLaBFyc-UM,,,,,,
3Xf5_-WM6h0,,,,,,
NVVL3jc2nRE,,,,,,
RKjFYgSREG8,,,,,,
3USkdBSwdKs,,,,,,
71l1dxnNN28,0.048,0.9906666666666668,0.07000000000000002,0.9693333333333334,0.3613333333333333,0.10933333333333334
Gz4K_CjxcCU,0.03625,0.99625,0.08,0.96875,0.355,0.08499999999999999
Fre5g65sj0w,0.485,0.96,0.4025,0.515,0.1625,0.19
xWiQT2LaD78,,,,,,
h7JatMD-B_w,,,,,,
VoI3U21K8_4,,,,,,
7E64xzjsgpo,,,,,,
YQ8H5GLPZsA,,,,,,
Q48o-VQ48og,,,,,,
4OmT_Nj1eng,,,,,,
xYP3p5ScKNo,,,,,,
EyAvSj1ZgXk,,,,,,
JzcylDGwRjk,,,,,,
lTAQ2HRErYw,,,,,,
PouihkhCpIc,,,,,,
uRrsTH3qC5c,,,,,,
NRlAWXJzNr8,0.9581818181818182,0.7981818181818181,0.4254545454545455,0.07727272727272727,0.3336363636363637,0.2336363636363636
3oIBsiZxNRw,,,,,,
QxXR0fxvTgM,,,,,,
yVZaPTMZUlM,0.37333333333333335,0.99,0.23333333333333334,0.6533333333333333,0.2266666666666667,0.07666666666666667
51rqdW3u02M,,,,,,
2-aPVBmi0P8,,,,,,
bVSIaWBYtuw,,,,,,
FuFyo9Zd9e0,0.325,0.8775,0.0275,0.9625,0.4025,0.195
PFn5uO78D8U,,,,,,
yDJ5Fn06OqA,,,,,,
YUOXh6eFCrU,1.0,0.4683333333333333,0.16833333333333333,0.04,0.37666666666666665,0.155
xiHcVRFBnA0,,,,,,
zcMrjedUJIQ,,,,,,
GvCv2Pz0o3I,,,,,,
IiTHAXv4_ts,0.04933333333333334,0.9973333333333334,0.08000000000000003,0.9573333333333336,0.32333333333333325,0.06733333333333334
zeqrf8ZVQSs,0.034,0.9906666666666668,0.07066666666666667,0.978,0.38,0.11333333333333336
za5uuoQJmmw,0.3728571428571428,0.9857142857142858,0.25142857142857145,0.6585714285714285,0.23,0.09428571428571428
b7l5KEKtcIg,0.395,0.98,0.21,0.7525,0.23,0.11
ku1rHYu6K9Q,,,,,,
aigXaO8ewdg,0.65,1.0,0.29,0.32,0.15,0.03
i1quLORCZ2g,,,,,,
b_zqUaywNAE,,,,,,
LaSgcIsnXlU,,,,,,
wOpw9aFCfPU,,,,,,
JB5zC2nu4Cc,,,,,,
7222_XNBmeo,,,,,,
Gep1hN-yeFQ,,,,,,
Re9DQipGsbs,,,,,,
OYajy-IfgAo,,,,,,
NopDEaz6bL4,,,,,,
hCGgT7Gmzg0,,,,,,
kjpWYcNDgWc,,,,,,
Zsdv_X18wD8,,,,,,
EDS5lfRFARg,0.2766666666666667,0.8700000000000001,0.06666666666666668,0.9633333333333334,0.31666666666666665,0.2733333333333334
fDj2x3Cb8ts,,,,,,
xrUwPbeETXE,,,,,,
NzcTKGxwCCE,,,,,,
xWUC47m9uKY,0.8375,0.9875,0.7025,0.0325,0.22,0.07500000000000001
eBsa_1cpN9s,0.065,0.99,0.07,0.99,0.135,0.115
B64TkkVRAwI,,,,,,
hlD_j3AtxGs,,,,,,
ZALxVE9hJ1I,,,,,,
lYeqxD1f5co,,,,,,
c0roInrdEMQ,0.28,0.995,0.325,0.545,0.225,0.095
O-cawByg2aA,0.73,0.98,0.53,0.4,0.07,0.11
557vBwreipo,,,,,,
uAmVmeDooQ4,,,,,,
--2v7MZOJGg,,,,,,
AkTyNRAp2qg,0.97,0.5,0.13,0.1,0.83,0.26
IvU3rkSBxBE,,,,,,
3XddwCSMo-8,,,,,,
c-Sg1HWcES0,,,,,,
9JE8GeZA78s,0.98,0.5333333333333333,0.12666666666666665,0.055,0.8849999999999999,0.21166666666666667
efsoTjgOIf4,,,,,,
gjJAXY_g-dA,,,,,,
zce6RScG2_k,,,,,,
Sx15ZqQPnHE,,,,,,
WOf2Kf0kNU8,,,,,,
O7YPymhfQec,,,,,,
HNEDBQYN0wE,,,,,,
acfjqWTwee0,,,,,,
VPM84_yfx5Q,,,,,,
jTb8NIxRRBc,,,,,,
Etp6km1JQi8,,,,,,
M8St8moqFq4,,,,,,
0KOT3mAtiNU,,,,,,
zHYDdT1pPIY,,,,,,
PqGc817jz3o,,,,,,
nK9Uf-7ijlk,,,,,,
1tz2bTKTWPg,,,,,,
7KnncF6Eomg,,,,,,
hhjOTt9EYyw,,,,,,
6x5FYrntm4Y,,,,,,
GbQcH5Zx9lE,,,,,,
-Kwyeaq38mg,,,,,,
dU-s0GWz2OQ,,,,,,
uhwzHfHcDOQ,,,,,,
68BytWd8uD8,,,,,,
w-I_lAfmRxM,1.0,0.75,0.9,0.0,0.4,0.23
t1KXDricV54,,,,,,
GMiAbQ5yUDA,0.73,0.93,0.29,0.51,0.19,0.22
8254mpJprjk,,,,,,
F2rEhJdN-mk,,,,,,
xPjQixqiRwQ,,,,,,
rQ6EwArDtHc,,,,,,
hUj3o0bsXWo,,,,,,
xihRwuWXmDc,,,,,,
YN5fu74-pcM,,,,,,
8nC0VnSRYgQ,,,,,,
OauYLIJB8Mk,,,,,,
ByHwtLjujlE,,,,,,
snWh8VxaKek,,,,,,
8waX7HzUxQQ,,,,,,
ibZmnFcLlaA,,,,,,
BWSrU0tv-5A,,,,,,
I6K-7v6DE9E,,,,,,
JmJAa90B_Qo,,,,,,
LcSnf-GBeKo,,,,,,
NK7GmnT_VQw,,,,,,
u6NBz5NK7Bg,,,,,,
V61XrzryoIM,,,,,,
ngElbkETkXo,,,,,,
Qchto7n_A3E,,,,,,
DsGHIDHxgF8,,,,,,
ma9HLOl1vuM,,,,,,
jtfbQ02Qryw,,,,,,
4fBXIcO0It4,,,,,,
GHaZYHfxyLs,,,,,,
XCy9TjzIees,,,,,,
-HyxOjUZ04Q,,,,,,
9M2-OkV9vVc,,,,,,
jO-15XPPVpE,,,,,,
1CFYomoxc-I,,,,,,
u_MU518qhwM,,,,,,
