Video id,audio_gender,audio_tone
bVSIaWBYtuw,female,normal
u6NBz5NK7Bg,female,passionate
HyxOjUZ04Q,male,passionate
nK9Uf-7ijlk,female,passionate
3USkdBSwdKs,female,normal
Is9ioUILsrU,male,reading
ku1rHYu6K9Q,female,reading
7up731HX2uA,male,passionate
wOpw9aFCfPU,male,reading
u_MU518qhwM,male,passionate
VufrCCcsse4,male,reading
DsGHIDHxgF8,male,reading
whreCx_YLko,female,reading
NzcTKGxwCCE,female,reading
xYP3p5ScKNo,female,normal
I6K-7v6DE9E,male,passionate
hCGgT7Gmzg0,male,reading
6x5FYrntm4Y,female,normal
8nC0VnSRYgQ,male,passionate
M8St8moqFq4,female,normal
7KnncF6Eomg,female,normal
qcz1Cm_-l50,male,passionate
ibZmnFcLlaA,male,passionate
k40Ht-MffP8,male,reading
bChoL5qB6cM,male,reading
xrUwPbeETXE,female,normal
nmccWna9A0Y,male,reading
QxXR0fxvTgM,female,normal
ngElbkETkXo,male,reading
4dvG5PXUGFk,Not recognized,Not recognized
BBhwOTtARQ8,female,normal
8254mpJprjk,male,normal
ev8g5jdDxEA,female,passionate
7222_XNBmeo,male,passionate
jBIf10lgWyU,male,reading
IvU3rkSBxBE,female,reading
PqGc817jz3o,male,reading
uRrsTH3qC5c,male,reading
nWbQIORfcyg,female,normal
b_zqUaywNAE,female,normal
xiHcVRFBnA0,male,reading
6sbVhu843SA,male,passionate
--2v7MZOJGg,male,reading
9ya8YNMJ27g,male,passionate
WTIotEFCYno,male,reading
h7JatMD-B_w,male,reading
1F7LAJEVp-U,male,reading
Etp6km1JQi8,male,passionate
XCy9TjzIees,male,reading
3oIBsiZxNRw,female,reading
O7YPymhfQec,male,passionate
GHaZYHfxyLs,male,passionate
7E64xzjsgpo,male,reading
JB5zC2nu4Cc,male,passionate
rQ6EwArDtHc,male,passionate
9JE8GeZA78s,male,reading
uhwzHfHcDOQ,male,passionate
pIMNpu7mGY8,female,passionate
Zsdv_X18wD8,male,reading
YQ8H5GLPZsA,Not recognized,Not recognized
aigXaO8ewdg,female,normal
1CFYomoxc-I,female,normal
3Xf5_-WM6h0,male,reading
PFn5uO78D8U,female,normal
za5uuoQJmmw,male,normal
GvCv2Pz0o3I,male,reading
yDJ5Fn06OqA,male,passionate
uAmVmeDooQ4,female,normal
4w_n98E-j0I,male,reading
Gep1hN-yeFQ,male,reading
V61XrzryoIM,male,passionate
4fBXIcO0It4,male,passionate
buSnKoducJc,male,passionate
EOqxDyiMAdE,male,reading
CQ0OHoaS8eo,female,reading
ZALxVE9hJ1I,male,passionate
ma9HLOl1vuM,male,passionate
8waX7HzUxQQ,male,passionate
F2rEhJdN-mk,male,passionate
Qchto7n_A3E,female,normal
vPA0k8r3Tuc,male,passionate
BWSrU0tv-5A,male,passionate
4OmT_Nj1eng,male,passionate
0KOT3mAtiNU,male,reading
OauYLIJB8Mk,male,passionate
lYeqxD1f5co,male,passionate
jtfbQ02Qryw,male,reading
JmJAa90B_Qo,female,normal
efsoTjgOIf4,Not recognized,Not recognized
c0roInrdEMQ,Not recognized,Not recognized
jO-15XPPVpE,female,normal
Fre5g65sj0w,Not recognized,Not recognized
VPM84_yfx5Q,male,reading
gjJAXY_g-dA,male,passionate
557vBwreipo,male,passionate
VoI3U21K8_4,male,reading
3XddwCSMo-8,male,passionate
T1yNpgVkMRM,female,normal
eBsa_1cpN9s,male,passionate
PouihkhCpIc,female,reading
ErrR7v0OgJA,female,reading
YN5fu74-pcM,female,passionate
71l1dxnNN28,male,passionate
c-Sg1HWcES0,Not recognized,Not recognized
h3ZrKQMBEB4,female,passionate
w-I_lAfmRxM,Not recognized,Not recognized
NRlAWXJzNr8,female,normal
IYNyBvB8BjA,male,reading
Kwyeaq38mg,male,reading
WOf2Kf0kNU8,male,reading
LXZqE_soFzY,male,reading
68BytWd8uD8,male,passionate
Wn8Bf_r0vzo,male,passionate
LaSgcIsnXlU,male,reading
V1kXk2yrBZw,male,passionate
X1Kr2cHWuP4,male,reading
O-cawByg2aA,male,passionate
NK7GmnT_VQw,female,normal
C7CY4l99S7M,male,reading
Gz4K_CjxcCU,male,passionate
zcMrjedUJIQ,male,normal
t1KXDricV54,male,reading
Re9DQipGsbs,male,reading
YUOXh6eFCrU,female,passionate
EyAvSj1ZgXk,male,reading
PqJuIal2-rY,male,reading
NopDEaz6bL4,female,passionate
AkTyNRAp2qg,male,normal
hUj3o0bsXWo,female,normal
RKjFYgSREG8,male,passionate
fDj2x3Cb8ts,male,passionate
Q48o-VQ48og,female,reading
OYajy-IfgAo,male,reading
kjpWYcNDgWc,female,normal
9M2-OkV9vVc,male,passionate
hhjOTt9EYyw,male,passionate
dBGeri4eFv4,male,reading
IiTHAXv4_ts,male,passionate
yVZaPTMZUlM,male,normal
B64TkkVRAwI,female,reading
xWUC47m9uKY,female,passionate
7Z_0Hica6-w,male,normal
zeqrf8ZVQSs,male,passionate
xWiQT2LaD78,male,passionate
1tz2bTKTWPg,male,passionate
KvBMuB4FeWE,male,reading
k2rrJDcOGsw,male,reading
hlD_j3AtxGs,female,normal
muZmOiiukQE,male,passionate
GtiYyWQI8ZA,male,reading
jTb8NIxRRBc,female,reading
5RZwBqvMVMI,male,reading
LcSnf-GBeKo,female,passionate
Ep8y4v7-Dmw,male,passionate
51rqdW3u02M,male,reading
i1quLORCZ2g,male,passionate
Sx15ZqQPnHE,male,reading
2-aPVBmi0P8,male,reading
zce6RScG2_k,male,reading
zHYDdT1pPIY,male,passionate
EDS5lfRFARg,female,normal
iQTrf_eCfI8,male,passionate
xRLaBFyc-UM,male,reading
1T2rAw6DsyM,male,reading
ByHwtLjujlE,male,reading
dU-s0GWz2OQ,male,passionate
6uts4lH_tP4,male,reading
NUA-fI3E6Vk,male,reading
UoPYPDnkltQ,male,reading
xihRwuWXmDc,female,normal
GMiAbQ5yUDA,female,passionate
TSnZ0dlh3NA,male,reading
GbQcH5Zx9lE,male,reading
acfjqWTwee0,male,passionate
snWh8VxaKek,female,passionate
SPh1KMjrb_A,female,reading
JzcylDGwRjk,female,reading
HNEDBQYN0wE,male,reading
xPjQixqiRwQ,male,passionate
NVVL3jc2nRE,male,reading
b7l5KEKtcIg,male,normal
nm2b1U8mvhI,female,reading
lTAQ2HRErYw,male,reading
